Race Name,Race Location,Race Date,Race Format,Race Start Time,Air Temperature,Relative Humidity,Air Pressure,Rainfall,Track Temperature,Wind Speed,Driver ID,Driver Name,Driver Number and Race Name,Driver Team,Position,Race Time,Race Point,Race Grid Position,Cluster
FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,"Melbourne,Australia",2018-03-25 00:00:00,conventional,2018-03-25 05:10:00,0.5385929319424863,0.2665017013657248,0.8927492430769272,True,0.537096687130982,0.6558052772341492,5,vettel,5 : FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,Ferrari,0.0,0 days 01:29:33.283000,25.0,3.0,1
FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,"Melbourne,Australia",2018-03-25 00:00:00,conventional,2018-03-25 05:10:00,0.5385929319424863,0.2665017013657248,0.8927492430769272,True,0.537096687130982,0.6558052772341492,44,hamilton,44 : FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,Mercedes,0.05263157894736842,0 days 00:00:05.036000,18.0,1.0,1
FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,"Melbourne,Australia",2018-03-25 00:00:00,conventional,2018-03-25 05:10:00,0.5385929319424863,0.2665017013657248,0.8927492430769272,True,0.537096687130982,0.6558052772341492,7,raikkonen,7 : FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,Ferrari,0.10526315789473684,0 days 00:00:06.309000,15.0,2.0,1
FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,"Melbourne,Australia",2018-03-25 00:00:00,conventional,2018-03-25 05:10:00,0.5385929319424863,0.2665017013657248,0.8927492430769272,True,0.537096687130982,0.6558052772341492,3,ricciardo,3 : FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,Red Bull Racing,0.15789473684210525,0 days 00:00:07.069000,12.0,8.0,1
FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,"Melbourne,Australia",2018-03-25 00:00:00,conventional,2018-03-25 05:10:00,0.5385929319424863,0.2665017013657248,0.8927492430769272,True,0.537096687130982,0.6558052772341492,14,alonso,14 : FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,McLaren,0.21052631578947367,0 days 00:00:27.886000,10.0,10.0,1
FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,"Melbourne,Australia",2018-03-25 00:00:00,conventional,2018-03-25 05:10:00,0.5385929319424863,0.2665017013657248,0.8927492430769272,True,0.537096687130982,0.6558052772341492,33,max_verstappen,33 : FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,Red Bull Racing,0.2631578947368421,0 days 00:00:28.945000,8.0,4.0,1
FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,"Melbourne,Australia",2018-03-25 00:00:00,conventional,2018-03-25 05:10:00,0.5385929319424863,0.2665017013657248,0.8927492430769272,True,0.537096687130982,0.6558052772341492,27,hulkenberg,27 : FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,Renault,0.3157894736842105,0 days 00:00:32.671000,6.0,7.0,1
FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,"Melbourne,Australia",2018-03-25 00:00:00,conventional,2018-03-25 05:10:00,0.5385929319424863,0.2665017013657248,0.8927492430769272,True,0.537096687130982,0.6558052772341492,77,bottas,77 : FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,Mercedes,0.3684210526315789,0 days 00:00:34.339000,4.0,15.0,1
FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,"Melbourne,Australia",2018-03-25 00:00:00,conventional,2018-03-25 05:10:00,0.5385929319424863,0.2665017013657248,0.8927492430769272,True,0.537096687130982,0.6558052772341492,2,vandoorne,2 : FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,McLaren,0.42105263157894735,0 days 00:00:34.921000,2.0,11.0,1
FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,"Melbourne,Australia",2018-03-25 00:00:00,conventional,2018-03-25 05:10:00,0.5385929319424863,0.2665017013657248,0.8927492430769272,True,0.537096687130982,0.6558052772341492,55,sainz,55 : FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,Renault,0.47368421052631576,0 days 00:00:45.722000,1.0,9.0,1
FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,"Melbourne,Australia",2018-03-25 00:00:00,conventional,2018-03-25 05:10:00,0.5385929319424863,0.2665017013657248,0.8927492430769272,True,0.537096687130982,0.6558052772341492,11,perez,11 : FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,Force India,0.5263157894736842,0 days 00:00:46.817000,0.0,12.0,1
FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,"Melbourne,Australia",2018-03-25 00:00:00,conventional,2018-03-25 05:10:00,0.5385929319424863,0.2665017013657248,0.8927492430769272,True,0.537096687130982,0.6558052772341492,31,ocon,31 : FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,Force India,0.5789473684210527,0 days 00:01:00.278000,0.0,14.0,1
FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,"Melbourne,Australia",2018-03-25 00:00:00,conventional,2018-03-25 05:10:00,0.5385929319424863,0.2665017013657248,0.8927492430769272,True,0.537096687130982,0.6558052772341492,16,leclerc,16 : FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,Sauber,0.631578947368421,0 days 00:01:15.759000,0.0,18.0,1
FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,"Melbourne,Australia",2018-03-25 00:00:00,conventional,2018-03-25 05:10:00,0.5385929319424863,0.2665017013657248,0.8927492430769272,True,0.537096687130982,0.6558052772341492,18,stroll,18 : FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,Williams,0.6842105263157895,0 days 00:01:18.288000,0.0,13.0,1
FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,"Melbourne,Australia",2018-03-25 00:00:00,conventional,2018-03-25 05:10:00,0.5385929319424863,0.2665017013657248,0.8927492430769272,True,0.537096687130982,0.6558052772341492,28,brendon_hartley,28 : FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,Toro Rosso,0.7368421052631579,NaT,0.0,16.0,1
FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,"Melbourne,Australia",2018-03-25 00:00:00,conventional,2018-03-25 05:10:00,0.5385929319424863,0.2665017013657248,0.8927492430769272,True,0.537096687130982,0.6558052772341492,8,grosjean,8 : FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,Haas F1 Team,0.7894736842105263,NaT,0.0,6.0,1
FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,"Melbourne,Australia",2018-03-25 00:00:00,conventional,2018-03-25 05:10:00,0.5385929319424863,0.2665017013657248,0.8927492430769272,True,0.537096687130982,0.6558052772341492,20,kevin_magnussen,20 : FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,Haas F1 Team,0.8421052631578947,NaT,0.0,5.0,1
FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,"Melbourne,Australia",2018-03-25 00:00:00,conventional,2018-03-25 05:10:00,0.5385929319424863,0.2665017013657248,0.8927492430769272,True,0.537096687130982,0.6558052772341492,10,gasly,10 : FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,Toro Rosso,0.8947368421052632,NaT,0.0,20.0,1
FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,"Melbourne,Australia",2018-03-25 00:00:00,conventional,2018-03-25 05:10:00,0.5385929319424863,0.2665017013657248,0.8927492430769272,True,0.537096687130982,0.6558052772341492,9,ericsson,9 : FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,Sauber,0.9473684210526315,NaT,0.0,17.0,1
FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,"Melbourne,Australia",2018-03-25 00:00:00,conventional,2018-03-25 05:10:00,0.5385929319424863,0.2665017013657248,0.8927492430769272,True,0.537096687130982,0.6558052772341492,35,sirotkin,35 : FORMULA 1 2018 ROLEX AUSTRALIAN GRAND PRIX,Williams,1.0,NaT,0.0,19.0,1
FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,"Sakhir,Bahrain",2018-04-08 00:00:00,conventional,2018-04-08 15:10:00,0.6828723935709028,0.45063366706527663,0.9440219585548656,False,0.43215568260906484,0.13167336442173755,5,vettel,5 : FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,Ferrari,0.0,0 days 01:32:01.940000,25.0,1.0,5
FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,"Sakhir,Bahrain",2018-04-08 00:00:00,conventional,2018-04-08 15:10:00,0.6828723935709028,0.45063366706527663,0.9440219585548656,False,0.43215568260906484,0.13167336442173755,77,bottas,77 : FORMULA 1 2018 GULF AIR BAHRAIN GRAND PRIX,Mercedes,0.05263157894736842,0 days 00:00:00.699000,18.0,3.0,5
